"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1962761350984","32.9688671300488","32.8018532245595","32.750132181079","32.8521396241532","32.961686222544","33.0109646814117","33.0739476999961","33.0646130770645","32.9622888632942","32.8837450837777","32.8436730271322","32.8500452984314","32.8343717256135","32.7396889642359","32.5700157688789","32.387973064401","32.2710892848164","32.6417574563848","32.6593265001316","32.6650012868329","32.5771292974189","32.6587113989719","32.7187178898352","32.8299099242578","32.9835573296841","32.9068761986711","32.8828367779275","35.2462673760082","34.6358786160301","33.0089582064649","33.5463790402252","33.5654645278687",
"American Samoa","ASM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3448794512434","70.8596942528691","70.7718756612043","71.1146873123407","71.7522431710937","72.1875287162223","72.3556411418751","72.7686455565651","72.9848479123716","72.7241090524475","73.7173812618373","73.9321675198376","74.4409766960277","74.2911578565831","74.62394622238","74.5890235025091","74.7710869515078","74.3763176777392","75.6249755490467","75.7928130654144","76.347609857515","76.4935267100422","76.9301860426434","76.2214483996553","77.2978546767242","77.6830403256154","77.973843812645","77.4955179860103","78.3832473808331","78.0429119312875","78.6023392938053","79.2390687514115","78.7406318240539",
"Austria","AUT","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.3421412758409","60.4527778632151","61.00441475991","60.3404432059462","60.5881863890744","62.3133043999836","63.499041996074","63.9648611991527","64.0524059651029","63.9731345509081","64.866936802782","65.3901709912711","65.5965691828679","67.3322555438795","67.152214370183","66.5940700133102","67.1489548179549","68.5371534305968","69.6953419991963","69.8497624839177","69.0368960153007","69.2446918095282","69.5168016584707","69.4117782879936","69.7047352302175","70.0892028375391","71.1478540102538","70.8704627382244","70.9879845378037","71.2713608036632","70.6386996311176","70.0972658981971","71.1617792722691",
"Azerbaijan","AZE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3888772748326","33.2805450424066","35.7470201864771","36.7362083144978","37.2750639263725","39.7060402934818","43.2068696747379","46.5784135963135","46.5134590306173","48.1117623352844","49.2247590735441","48.286602047955","48.9016649395088","48.5573966294768","48.6052617068306","48.0995601236661","48.8254001663296","48.2766273881707","49.206106042527","48.0532475356734","48.0427007855962","48.0596829037314","48.5244312300122","48.9423100194364","49.5804455785965","49.3350831297579","49.325885686618","49.3749986871044","49.6103391718598","49.4591487871787","49.2772553136334","49.4746728578338","49.7119532930537",
"Burundi","BDI","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.77941917152116","5.7936089516358","5.7815094997239","5.73720053549512","5.49255451583964","5.32175578145731","5.36183871866229","5.58947428622464","5.6902355107911","5.81560331316053","6.04853173035438","6.37765654596918","6.45525153003815","6.74655901184728","6.9180202616922","7.30809973708645","7.6243352170701","7.98045073078525","8.24288276109016","8.6152197650445","9.01620384193802","9.45343690162422","9.92089759259514","10.3182620610463","10.1420183539061","10.2154007154717","10.2181169902521","10.7345972095306","11.2708404719935","11.5972585156258","11.4899284481396","11.7429790666446","11.8801822134924",
"Belgium","BEL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9950928355399","67.4007662367204","67.9076351082194","68.2338280216182","69.0708291925556","69.624118467278","69.7970118865088","70.5171868938013","71.8358205925669","72.2786493805412","73.1320629051939","72.4258149047491","73.3596358357673","72.842684543733","73.2749756265988","73.352711406003","73.713440590546","73.7746916176594","75.0385158607671","75.2729385878204","75.4657997548306","77.0718652483705","76.9366071781884","77.3887650837691","77.3893722355774","77.4842628142556","78.0795247970477","77.9431189394068","78.2438723547879","78.6720466566924","79.6934206275868","80.0245289646057","79.4940575659161",
"Benin","BEN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5489616895091","26.7224061907717","26.9898511699088","27.135768690254","27.6135658385744","28.0123237952598","28.5250121690204","28.9801564059075","29.5746118235168","30.2935481560178","31.0405741535829","31.7101821416965","32.271854591412","32.9003967529445","33.2879097448337","33.8885322089722","34.7230135994015","35.5231777374011","36.1048856007976","36.6862760948825","37.8346303957448","39.3161617774423","41.0032545272799","42.6045618535034","43.7763615128215","45.0727790729943","46.5764962951208","48.0105298327609","48.8967858692468","48.6045422893276","48.8173043974079","49.5100422588025","49.957140660909",
"Burkina Faso","BFA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4327146334285","27.5027167806749","27.738917459731","27.8631866302871","28.2939999461265","29.0919225518643","29.6458666550736","30.2869152269066","30.9970501725421","31.2602351754212","32.0188144492152","32.5380391936752","33.4046239321345","33.9490484130488","34.895053199972","35.6279671440282","36.1667736494264","36.8647946000762","37.3198989794881","38.2876944710143","39.0894820256685","39.8816991434348","40.6294206660447","41.1980468141539","41.7407293505729","42.4723440099608","43.2354368646653","44.0203388479867","44.7294004919946","44.3640420762505","44.431771270735","45.9787222524513","45.9787313129358",
