Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, total [SP.POP.0014.TO]","Population, male (% of population, ages 0-14)","Population, female (% of population, ages 0-14)"
2023,YR2023,Maldives,MDV,525994,62.09538512,37.90461488,56230,49226,105457,53.32031065,46.6787411
2023,YR2023,Mali,MLI,23769127,50.46322063,49.53677937,5583003,5460181,11043184,50.55609868,49.44390132
2023,YR2023,Malta,MLT,552747,51.89302682,48.10697318,37628,35068,72696,51.76075713,48.23924287
2023,YR2023,Marshall Islands,MHL,38827,51.26197589,48.73802411,6953,6522,13475,51.59925788,48.40074212
2023,YR2023,Mauritania,MRT,5022441,49.01930177,50.98069823,1094069,1067393,2161462,50.61708233,49.38291767
2023,YR2023,Mauritius,MUS,1261041,49.98315783,50.01684217,94021,96702,190723,49.29714822,50.70285178
2023,YR2023,Mexico,MEX,129739759,48.50181009,51.49818991,16446938,15881579,32328517,50.87439674,49.12560326
2023,YR2023,"Micronesia, Fed. Sts.",FSM,112630,49.69812661,50.30187339,18627,17560,36187,51.47428635,48.52571365
2023,YR2023,Middle East & North Africa,MEA,508311359,51.82503265,48.17496735,76678726,73079480,149758206,51.20168574,48.79831426
2023,YR2023,Middle East & North Africa (excluding high income),MNA,440118189,50.53676858,49.46323142,68830674,65552935,134383609,51.21954568,48.78045432
2023,YR2023,Middle East & North Africa (IDA & IBRD countries),TMN,434952414,50.5467205,49.4532795,67821557,64579932,132401489,51.22416486,48.77583514
2023,YR2023,Middle income,MIC,5896643239,50.50908618,49.49091382,766910807,717165799,1484076599,51.67595847,48.324042
2023,YR2023,Moldova,MDA,2457783,46.02480543,53.97519457,251161,240205,491365,51.11495528,48.88524824
2023,YR2023,Monaco,MCO,38956,48.95009755,51.04990245,2601,2532,5134,50.66225166,49.31827035
2023,YR2023,Mongolia,MNG,3481145,49.89202878,50.10797122,584517,551641,1136158,51.44680581,48.55319419
2023,YR2023,Montenegro,MNE,616177,48.12051437,51.87948563,58535,54427,112962,51.81831058,48.18168942
2023,YR2023,Morocco,MAR,37712505,50.44276163,49.55723837,5032054,4786472,9818525,51.25061045,48.74939973
2023,YR2023,Mozambique,MOZ,33635160,48.48289553,51.51710447,7557379,7495991,15053370,50.20390119,49.79609881
2023,YR2023,Myanmar,MMR,54133798,49.7955741,50.2044259,6812212,6459081,13271294,51.33042791,48.66956455
2023,YR2023,Namibia,NAM,2963095,48.83776968,51.16223032,549975,555032,1105007,49.77117792,50.22882208
2023,YR2023,Nauru,NRU,11875,50.93052632,49.06947368,2335,2199,4534,51.49977944,48.50022056
2023,YR2023,Nepal,NPL,29694614,48.08694438,51.91305562,4396179,4130222,8526401,51.5596088,48.4403912
2023,YR2023,Netherlands,NLD,17877117,49.66833262,50.33166738,1389078,1323108,2712186,51.21617765,48.78382235
2023,YR2023,New Caledonia,NCL,289870,49.31935005,50.68064995,31725,30674,62398,50.84297574,49.15862688
2023,YR2023,New Zealand,NZL,5223100,49.67318695,50.32681305,492647,467083,959731,51.33177943,48.66811638
2023,YR2023,Nicaragua,NIC,6823613,49.17610363,50.82389637,1011256,981503,1992759,50.7465278,49.2534722
2023,YR2023,Niger,NER,26159867,50.77304483,49.22695517,6244598,6041572,12286170,50.82623796,49.17376204
2023,YR2023,Nigeria,NGA,227882945,50.55531119,49.44468881,47954288,46599425,94553713,50.71645151,49.28354849
2023,YR2023,North America,NAC,375077354,50.18435726,49.81564274,33375205,31697615,65072820,51.28900976,48.71099024
2023,YR2023,North Macedonia,MKD,1827816,48.63429563,51.36570437,159585,152384,311969,51.15412108,48.84587892
2023,YR2023,Northern Mariana Islands,MNP,45143,52.71692178,47.28307822,5376,4820,10196,52.72655944,47.27344056
2023,YR2023,Norway,NOR,5519594,50.38662537,49.61337463,467874,443233,911106,51.35231246,48.64779729
2023,YR2023,Not classified,INX,..,..,..,..,..,..,..,..
2023,YR2023,OECD members,OED,1385723403,49.39639555,50.60360445,120251379,114615420,234866799,51.19982029,48.80017971
2023,YR2023,Oman,OMN,5049269,62.07810716,37.92189284,649112,624706,1273818,50.95798615,49.04201385
2023,YR2023,Other small states,OSS,14411921,51.88768445,48.11231555,1709517,1644563,3354082,50.96825301,49.03168736
2023,YR2023,Pacific island small states,PSS,2689224,50.16015728,49.83984272,463741,440110,903851,51.3072398,48.6927602
2023,YR2023,Pakistan,PAK,247504495,50.79958224,49.20041776,46883105,44787762,91670867,51.142862,48.857138
2023,YR2023,Palau,PLW,17727,53.90082924,46.09917076,1715,1572,3287,52.17523578,47.82476422
2023,YR2023,Panama,PAN,4458759,50.01104567,49.98895433,577767,549237,1127003,51.26579077,48.73429796
2023,YR2023,Papua New Guinea,PNG,10389635,51.47419052,48.52580948,1823610,1688526,3512136,51.92310321,48.07689679
2023,YR2023,Paraguay,PRY,6844146,50.15085885,49.84914115,1007084,962731,1969814,51.12584234,48.87420843
2023,YR2023,Peru,PER,33845617,49.74187056,50.25812944,4195766,4048404,8244170,50.8937346,49.1062654
2023,YR2023,Philippines,PHL,114891199,49.88268684,50.11731316,16752191,16115364,32867555,50.96877757,49.03122243
